"age","sex","ethhuk11","n"
61,2,6,114
61,2,7,37
61,2,8,11
62,1,2,8121
62,1,3,97
62,1,4,160
62,1,5,26
62,1,6,359
62,1,7,67
62,1,8,42
62,2,2,2653
62,2,3,55
62,2,4,70
62,2,5,16
62,2,6,101
62,2,7,18
62,2,8,13
63,1,2,8228
63,1,3,116
63,1,4,156
63,1,5,31
63,1,6,303
63,1,7,70
63,1,8,32
63,2,2,2579
63,2,3,42
63,2,4,51
63,2,5,9
63,2,6,82
63,2,7,31
63,2,8,4
64,1,2,8861
64,1,3,112
64,1,4,137
64,1,5,18
64,1,6,280
64,1,7,52
64,1,8,35
64,2,2,2814
64,2,3,38
64,2,4,57
64,2,5,8
64,2,6,82
64,2,7,28
64,2,8,8
65,1,2,9118
65,1,3,87
65,1,4,125
65,1,5,22
65,1,6,211
65,1,7,41
65,1,8,30
65,2,2,2916
65,2,3,56
65,2,4,67
65,2,5,8
65,2,6,47
65,2,7,30
65,2,8,4
66,1,2,6731
66,1,3,106
66,1,4,115
66,1,5,18
66,1,6,217
66,1,7,31
66,1,8,25
66,2,2,1907
66,2,3,37
66,2,4,40
66,2,5,13
66,2,6,35
66,2,7,17
66,2,8,5
67,1,2,7165
67,1,3,100
67,1,4,95
67,1,5,19
67,1,6,221
67,1,7,38
67,1,8,33
67,2,2,2003
67,2,3,33
67,2,4,48
67,2,5,6
67,2,6,40
67,2,7,15
67,2,8,4
68,1,2,6948
68,1,3,90
68,1,4,91
68,1,5,24
68,1,6,197
68,1,7,29
68,1,8,17
68,2,2,2008
68,2,3,43
68,2,4,41
68,2,5,10
68,2,6,32
68,2,7,22
68,2,8,7
69,1,2,6580
69,1,3,82
69,1,4,93
69,1,5,27
69,1,6,161
69,1,7,59
69,1,8,21
69,2,2,1810
69,2,3,46
69,2,4,29
69,2,5,7
69,2,6,16
69,2,7,11
69,2,8,4
70,1,2,5543
70,1,3,94
70,1,4,96
70,1,5,14
70,1,6,166
70,1,7,41
70,1,8,18
70,2,2,1452
70,2,3,44
70,2,4,37
70,2,5,4
70,2,6,23
70,2,7,17
70,2,8,5
71,1,2,5354
71,1,3,98
71,1,4,60
71,1,5,11
71,1,6,178
71,1,7,55
71,1,8,17
71,2,2,1286
71,2,3,35
71,2,4,27
71,2,5,3
71,2,6,28
71,2,7,9
71,2,8,3
72,1,2,5410
72,1,3,94
72,1,4,80
72,1,5,11
72,1,6,180
72,1,7,49
72,1,8,23
72,2,2,1311
72,2,3,27
72,2,4,33
72,2,5,6
72,2,6,24
72,2,7,18
73,1,2,5420
73,1,3,77
73,1,4,94
73,1,5,16
73,1,6,172
73,1,7,52
73,1,8,13
73,2,2,1344
73,2,3,31
73,2,4,30
73,2,5,6
73,2,6,16
73,2,7,14
73,2,8,3
74,1,2,5375
74,1,3,67
74,1,4,77
74,1,5,15
74,1,6,200
74,1,7,54
74,1,8,12
74,2,2,1315
74,2,3,38
74,2,4,27
74,2,5,3
74,2,6,20
74,2,7,21
74,2,8,2
75,1,2,5378
75,1,3,84
75,1,4,76
75,1,5,27
75,1,6,181
75,1,7,65
75,1,8,12
75,2,2,1281
75,2,3,32
75,2,4,37
75,2,5,5
75,2,6,18
75,2,7,11
75,2,8,1
76,1,2,4333
76,1,3,50
76,1,4,56
76,1,5,15
76,1,6,113
76,1,7,38
76,1,8,15
76,2,2,974
76,2,3,30
76,2,4,24
76,2,5,4
76,2,6,14
76,2,7,6
76,2,8,3
77,1,2,4337
77,1,3,79
77,1,4,54
77,1,5,13
77,1,6,125
77,1,7,52
77,1,8,8
77,2,2,963
77,2,3,31
77,2,4,16
77,2,5,3
77,2,6,13
77,2,7,11
77,2,8,1
78,1,2,4166
78,1,3,63
78,1,4,51
78,1,5,19
78,1,6,140
78,1,7,42
78,1,8,15
78,2,2,958
78,2,3,30
78,2,4,21
78,2,5,3
78,2,6,13
78,2,7,15
78,2,8,2
79,1,2,4272
79,1,3,65
79,1,4,59
79,1,5,11
79,1,6,137
79,1,7,52
79,1,8,10
79,2,2,974
79,2,3,22
79,2,4,26
79,2,5,3
79,2,6,10
79,2,7,7
79,2,8,1
80,1,2,4217
80,1,3,57
80,1,4,53
80,1,5,13
80,1,6,139
80,1,7,48
80,1,8,9
80,2,2,977
80,2,3,22
80,2,4,12
80,2,5,6
80,2,6,15
80,2,7,7
80,2,8,1
81,1,2,2698
81,1,3,30
81,1,4,36
81,1,5,3
81,1,6,59
81,1,7,19
81,1,8,6
81,2,2,605
81,2,3,14
81,2,4,11
81,2,5,1
81,2,6,5
81,2,7,8
81,2,8,1
82,1,2,2787
82,1,3,29
82,1,4,36
82,1,5,8
82,1,6,55
82,1,7,24
82,2,2,599
82,2,3,11
82,2,4,15
82,2,5,1
82,2,6,2
82,2,7,13
82,2,8,3
83,1,2,2636
83,1,3,49
83,1,4,45
83,1,5,7
83,1,6,60
83,1,7,21
83,1,8,5
83,2,2,642
83,2,3,12
83,2,4,15
83,2,5,2
83,2,6,4
83,2,7,10
84,1,2,2554
84,1,3,36
84,1,4,40
84,1,5,9
84,1,6,69
84,1,7,19
84,1,8,1
84,2,2,602
84,2,3,14
84,2,4,15
84,2,5,4
84,2,6,4
84,2,7,4
85,1,2,2639
85,1,3,27
85,1,4,55
85,1,5,4
85,1,6,55
85,1,7,21
85,1,8,9
85,2,2,617
85,2,3,17
85,2,4,12
85,2,6,3
85,2,7,5
85,2,8,1
86,1,2,7280
86,1,3,90
86,1,4,169
86,1,5,24
86,1,6,120
86,1,7,41
86,1,8,12
86,2,2,1964
86,2,3,49
86,2,4,37
86,2,5,4
86,2,6,14
86,2,7,17
86,2,8,2
