"age","sex","ethhuk11","n"
16,2,6,1
17,1,2,8
17,1,4,1
17,1,7,1
17,2,2,20
17,2,5,7
17,2,6,1
17,2,7,2
18,1,2,5
18,1,4,2
18,1,6,2
18,2,2,86
18,2,4,1
18,2,5,6
18,2,6,1
18,2,7,7
19,1,2,11
19,1,4,3
19,1,6,2
19,2,2,280
19,2,4,8
19,2,5,20
19,2,6,4
19,2,7,17
19,2,8,5
20,1,2,6
20,1,4,2
20,1,6,2
20,1,7,1
20,2,2,578
20,2,3,2
20,2,4,9
20,2,5,37
20,2,6,6
20,2,7,29
20,2,8,2
21,1,2,17
21,1,4,2
21,1,5,2
21,1,6,3
21,1,7,3
21,2,2,830
21,2,3,1
21,2,4,16
21,2,5,43
21,2,6,11
21,2,7,46
21,2,8,2
22,1,2,29
22,1,4,3
22,1,5,1
22,1,6,5
22,1,7,5
22,1,8,1
22,2,2,1145
22,2,3,1
22,2,4,29
22,2,5,62
22,2,6,18
22,2,7,81
22,2,8,11
23,1,2,28
23,1,4,2
23,1,6,3
23,1,7,6
23,1,8,2
23,2,2,1346
23,2,3,3
23,2,4,41
23,2,5,93
23,2,6,18
23,2,7,106
23,2,8,15
24,1,2,43
24,1,4,1
24,1,5,3
24,1,6,4
24,1,7,10
24,2,2,1431
24,2,3,6
24,2,4,59
24,2,5,76
24,2,6,45
24,2,7,126
24,2,8,11
25,1,2,46
25,1,4,8
25,1,5,4
25,1,6,13
25,1,7,5
25,1,8,2
25,2,2,1589
25,2,3,5
25,2,4,70
25,2,5,109
25,2,6,60
25,2,7,153
25,2,8,14
26,1,2,45
26,1,3,1
26,1,4,3
26,1,5,3
26,1,6,3
26,1,7,5
26,1,8,3
26,2,2,1611
26,2,3,6
26,2,4,85
26,2,5,87
26,2,6,62
26,2,7,146
26,2,8,13
27,1,2,65
27,1,3,1
27,1,4,8
27,1,5,3
27,1,6,11
27,1,7,12
27,1,8,4
27,2,2,1629
27,2,3,5
27,2,4,98
27,2,5,91
27,2,6,81
27,2,7,160
27,2,8,21
28,1,2,79
28,1,4,9
28,1,5,4
28,1,6,6
28,1,7,11
28,1,8,2
28,2,2,1650
28,2,3,10
28,2,4,114
28,2,5,88
28,2,6,76
28,2,7,172
28,2,8,16
29,1,2,72
29,1,3,1
29,1,4,5
29,1,5,3
29,1,6,11
29,1,7,5
29,1,8,4
29,2,2,1690
29,2,3,12
29,2,4,136
29,2,5,98
29,2,6,99
29,2,7,185
29,2,8,22
30,1,2,94
30,1,4,5
30,1,6,23
30,1,7,12
30,1,8,4
30,2,2,1805
30,2,3,11
30,2,4,116
30,2,5,96
30,2,6,121
30,2,7,188
30,2,8,22
31,1,2,100
31,1,3,2
31,1,4,8
31,1,5,6
31,1,6,14
31,1,7,13
31,1,8,1
31,2,2,1814
31,2,3,12
31,2,4,130
31,2,5,87
31,2,6,114
31,2,7,246
31,2,8,27
32,1,2,107
32,1,3,2
32,1,4,10
32,1,5,6
32,1,6,14
32,1,7,12
32,1,8,4
32,2,2,1864
32,2,3,12
32,2,4,150
32,2,5,67
32,2,6,128
32,2,7,226
32,2,8,28
33,1,2,117
33,1,3,2
33,1,4,10
33,1,5,2
33,1,6,19
33,1,7,18
33,1,8,1
33,2,2,1831
33,2,3,10
33,2,4,128
33,2,5,85
33,2,6,120
33,2,7,222
33,2,8,20
34,1,2,134
34,1,4,17
34,1,5,3
34,1,6,15
34,1,7,31
34,1,8,4
34,2,2,1685
34,2,3,7
34,2,4,156
34,2,5,90
34,2,6,127
34,2,7,239
34,2,8,29
35,1,2,132
35,1,3,1
35,1,4,15
35,1,5,8
35,1,6,21
35,1,7,27
35,1,8,6
35,2,2,1766
35,2,3,14
35,2,4,163
35,2,5,74
35,2,6,154
35,2,7,242
35,2,8,32
36,1,2,160
36,1,3,1
36,1,4,19
36,1,5,6
36,1,6,14
36,1,7,27
36,1,8,5
36,2,2,1960
36,2,3,15
36,2,4,137
36,2,5,98
36,2,6,132
36,2,7,254
36,2,8,35
37,1,2,189
37,1,3,2
37,1,4,14
37,1,5,6
37,1,6,19
37,1,7,21
37,1,8,2
37,2,2,2120
37,2,3,19
37,2,4,135
37,2,5,71
37,2,6,163
37,2,7,291
37,2,8,24
38,1,2,205
38,1,3,3
38,1,4,12
38,1,5,2
38,1,6,19
38,1,7,27
38,1,8,6
38,2,2,2252
38,2,3,11
38,2,4,145
38,2,5,78
38,2,6,165
38,2,7,252
38,2,8,38
39,1,2,239
39,1,3,5
39,1,4,14
39,1,5,4
39,1,6,16
39,1,7,29
39,1,8,3
39,2,2,2467
39,2,3,14
39,2,4,156
39,2,5,89
39,2,6,166
39,2,7,279
39,2,8,34
40,1,2,302
40,1,3,3
40,1,4,15
40,1,5,11
40,1,6,26
40,1,7,30
40,1,8,3
40,2,2,2783
40,2,3,26
40,2,4,156
40,2,5,85
40,2,6,198
40,2,7,270
40,2,8,29
41,1,2,355
41,1,3,3
41,1,4,16
41,1,5,16
41,1,6,22
41,1,7,26
41,1,8,2
41,2,2,2889
41,2,3,31
41,2,4,149
41,2,5,96
41,2,6,200
41,2,7,315
41,2,8,42
42,1,2,379
42,1,3,4
42,1,4,14
42,1,5,10
42,1,6,23
42,1,7,37
42,1,8,2
42,2,2,2918
42,2,3,27
42,2,4,141
42,2,5,86
42,2,6,189
42,2,7,321
42,2,8,35
43,1,2,456
43,1,3,4
43,1,4,20
43,1,5,5
43,1,6,18
43,1,7,33
43,1,8,4
43,2,2,3039
43,2,3,20
43,2,4,120
43,2,5,75
43,2,6,190
43,2,7,341
43,2,8,36
44,1,2,484
44,1,3,3
44,1,4,13
44,1,5,13
44,1,6,30
44,1,7,36
44,1,8,9
44,2,2,3025
44,2,3,29
44,2,4,136
44,2,5,91
44,2,6,186
44,2,7,326
44,2,8,36
45,1,2,488
45,1,3,8
45,1,4,19
45,1,5,16
45,1,6,28
45,1,7,31
45,1,8,5
45,2,2,3079
45,2,3,30
45,2,4,132
45,2,5,88
45,2,6,172
45,2,7,360
45,2,8,35
46,1,2,541
46,1,3,3
46,1,4,25
46,1,5,14
46,1,6,23
46,1,7,43
46,1,8,9
46,2,2,3094
46,2,3,25
46,2,4,137
46,2,5,80
46,2,6,143
46,2,7,355
46,2,8,24
47,1,2,521
47,1,3,9
47,1,4,24
47,1,5,11
47,1,6,23
47,1,7,40
47,1,8,5
47,2,2,2940
47,2,3,29
47,2,4,116
47,2,5,76
47,2,6,136
47,2,7,345
47,2,8,43
48,1,2,552
48,1,3,5
48,1,4,15
48,1,5,5
48,1,6,20
48,1,7,39
48,1,8,3
48,2,2,2873
48,2,3,43
48,2,4,116
48,2,5,70
48,2,6,150
48,2,7,329
48,2,8,25
49,1,2,593
49,1,3,9
49,1,4,13
49,1,5,9
49,1,6,27
49,1,7,39
49,1,8,3
49,2,2,2636
49,2,3,34
49,2,4,122
49,2,5,69
49,2,6,128
49,2,7,294
49,2,8,17
50,1,2,530
50,1,3,3
50,1,4,26
50,1,5,9
50,1,6,26
50,1,7,40
50,1,8,4
50,2,2,2387
50,2,3,30
50,2,4,106
50,2,5,54
50,2,6,147
50,2,7,262
50,2,8,32
51,1,2,563
51,1,3,7
51,1,4,20
51,1,5,11
51,1,6,27
51,1,7,41
51,1,8,6
51,2,2,2137
51,2,3,26
51,2,4,86
51,2,5,54
51,2,6,119
51,2,7,232
51,2,8,28
52,1,2,471
52,1,3,7
52,1,4,20
52,1,5,10
52,1,6,36
52,1,7,28
52,1,8,6
52,2,2,1885
52,2,3,37
52,2,4,94
52,2,5,25
52,2,6,124
52,2,7,215
52,2,8,23
53,1,2,476
53,1,3,5
53,1,4,16
53,1,5,6
53,1,6,21
53,1,7,29
53,1,8,9
53,2,2,1671
53,2,3,32
53,2,4,74
53,2,5,32
53,2,6,119
53,2,7,180
53,2,8,20
54,1,2,460
54,1,3,8
54,1,4,16
54,1,5,5
54,1,6,28
54,1,7,22
54,1,8,6
54,2,2,1499
54,2,3,25
54,2,4,64
54,2,5,30
54,2,6,125
54,2,7,144
54,2,8,22
55,1,2,389
55,1,3,7
55,1,4,17
55,1,5,8
55,1,6,34
55,1,7,23
55,1,8,5
55,2,2,1356
55,2,3,20
55,2,4,66
55,2,5,16
55,2,6,119
55,2,7,139
55,2,8,18
56,1,2,396
56,1,3,11
56,1,4,20
56,1,5,4
56,1,6,24
56,1,7,22
56,1,8,4
56,2,2,1204
56,2,3,18
56,2,4,69
56,2,5,17
56,2,6,98
56,2,7,132
56,2,8,16
57,1,2,371
57,1,3,1
57,1,4,11
57,1,5,6
57,1,6,22
57,1,7,24
57,1,8,8
57,2,2,1119
57,2,3,27
57,2,4,36
57,2,5,22
57,2,6,106
57,2,7,103
57,2,8,14
58,1,2,341
58,1,3,6
58,1,4,14
58,1,5,3
58,1,6,20
58,1,7,20
58,1,8,4
58,2,2,1029
58,2,3,23
58,2,4,52
58,2,5,7
58,2,6,99
58,2,7,94
58,2,8,11
59,1,2,330
59,1,3,6
59,1,4,12
59,1,5,2
59,1,6,19
59,1,7,18
59,1,8,5
59,2,2,879
59,2,3,25
59,2,4,29
59,2,5,13
59,2,6,101
59,2,7,78
59,2,8,12
60,1,2,268
60,1,3,3
60,1,4,11
60,1,5,1
60,1,6,20
60,1,7,10
60,1,8,2
60,2,2,785
60,2,3,22
60,2,4,34
60,2,5,18
60,2,6,86
60,2,7,61
60,2,8,14
61,1,2,281
61,1,3,7
61,1,4,14
61,1,5,1
61,1,6,23
61,1,7,8
61,1,8,5
61,2,2,727
61,2,3,13
61,2,4,34
61,2,5,10
61,2,6,77
61,2,7,68
61,2,8,9
62,1,2,300
62,1,3,5
62,1,4,6
62,1,5,2
62,1,6,15
62,1,7,7
62,1,8,1
62,2,2,684
62,2,3,19
62,2,4,39
62,2,5,12
62,2,6,79
62,2,7,60
62,2,8,9
63,1,2,287
63,1,3,7
63,1,4,9
63,1,5,2
63,1,6,13
63,1,7,4
63,1,8,5
63,2,2,715
63,2,3,9
63,2,4,18
63,2,5,8
63,2,6,59
63,2,7,41
63,2,8,15
64,1,2,272
64,1,3,6
64,1,4,7
64,1,5,4
64,1,6,10
64,1,7,10
64,1,8,2
64,2,2,700
64,2,3,17
64,2,4,27
64,2,5,6
64,2,6,67
64,2,7,40
64,2,8,9
65,1,2,252
65,1,3,12
65,1,4,7
65,1,5,2
65,1,6,20
65,1,7,5
65,1,8,2
65,2,2,701
65,2,3,15
65,2,4,22
65,2,5,11
65,2,6,51
65,2,7,42
65,2,8,10
66,1,2,203
66,1,3,7
66,1,4,8
66,1,5,4
66,1,6,7
66,1,7,5
66,2,2,510
66,2,3,15
66,2,4,15
66,2,5,9
66,2,6,47
66,2,7,28
66,2,8,3
67,1,2,213
67,1,3,2
67,1,4,6
67,1,5,2
67,1,6,2
67,1,7,10
67,2,2,504
67,2,3,10
67,2,4,17
67,2,5,4
67,2,6,43
67,2,7,35
67,2,8,6
68,1,2,167
68,1,3,7
68,1,4,5
68,1,5,2
68,1,6,11
68,1,7,4
68,1,8,1
68,2,2,503
68,2,3,18
68,2,4,16
68,2,5,5
68,2,6,31
68,2,7,32
68,2,8,3
69,1,2,166
69,1,3,3
69,1,4,1
69,1,5,3
69,1,6,13
69,1,7,6
69,1,8,2
69,2,2,483
69,2,3,19
69,2,4,20
69,2,5,5
69,2,6,36
69,2,7,43
69,2,8,6
70,1,2,141
70,1,3,2
70,1,4,5
70,1,6,8
70,1,7,4
70,1,8,2
70,2,2,433
70,2,3,15
70,2,4,16
70,2,5,2
70,2,6,35
70,2,7,28
70,2,8,4
71,1,2,161
71,1,3,5
71,1,4,5
71,1,5,1
71,1,6,10
71,1,7,5
71,2,2,456
71,2,3,12
71,2,4,20
71,2,5,3
71,2,6,33
71,2,7,38
71,2,8,4
72,1,2,137
72,1,3,5
72,1,4,3
72,1,5,1
72,1,6,9
72,1,7,7
72,1,8,1
72,2,2,448
72,2,3,18
72,2,4,13
72,2,5,3
72,2,6,30
72,2,7,36
72,2,8,5
73,1,2,154
73,1,3,4
73,1,4,1
73,1,5,1
73,1,6,7
73,1,7,6
73,1,8,1
73,2,2,453
73,2,3,28
73,2,4,9
73,2,5,4
73,2,6,32
73,2,7,29
73,2,8,4
74,1,2,149
74,1,3,7
74,1,4,2
