"age","sex","ethhuk11","n"
41,2,2,6420
41,2,3,90
41,2,4,462
41,2,5,177
41,2,6,566
41,2,7,519
41,2,8,84
42,1,2,11941
42,1,3,147
42,1,4,710
42,1,5,204
42,1,6,1306
42,1,7,538
42,1,8,200
42,2,2,6370
42,2,3,83
42,2,4,406
42,2,5,159
42,2,6,494
42,2,7,548
42,2,8,70
43,1,2,12424
43,1,3,162
43,1,4,658
43,1,5,225
43,1,6,1195
43,1,7,620
43,1,8,174
43,2,2,6712
43,2,3,82
43,2,4,393
43,2,5,151
43,2,6,454
43,2,7,595
43,2,8,68
44,1,2,12788
44,1,3,167
44,1,4,635
44,1,5,199
44,1,6,1126
44,1,7,581
44,1,8,156
44,2,2,6772
44,2,3,89
44,2,4,396
44,2,5,161
44,2,6,438
44,2,7,585
44,2,8,76
45,1,2,12971
45,1,3,198
45,1,4,629
45,1,5,194
45,1,6,1075
45,1,7,574
45,1,8,195
45,2,2,7189
45,2,3,86
45,2,4,354
45,2,5,175
45,2,6,423
45,2,7,606
45,2,8,66
46,1,2,13255
46,1,3,177
46,1,4,555
46,1,5,201
46,1,6,989
46,1,7,622
46,1,8,171
46,2,2,7286
46,2,3,87
46,2,4,354
46,2,5,169
46,2,6,375
46,2,7,620
46,2,8,62
47,1,2,13797
47,1,3,211
47,1,4,561
47,1,5,176
47,1,6,845
47,1,7,591
47,1,8,163
47,2,2,7393
47,2,3,90
47,2,4,349
47,2,5,166
47,2,6,371
47,2,7,589
47,2,8,72
48,1,2,13267
48,1,3,182
48,1,4,535
48,1,5,176
48,1,6,814
48,1,7,551
48,1,8,165
48,2,2,7446
48,2,3,120
48,2,4,339
48,2,5,152
48,2,6,342
48,2,7,569
48,2,8,61
49,1,2,13500
49,1,3,161
49,1,4,508
49,1,5,182
49,1,6,861
49,1,7,545
49,1,8,149
49,2,2,7402
49,2,3,94
49,2,4,329
49,2,5,160
49,2,6,340
49,2,7,549
49,2,8,60
50,1,2,13368
50,1,3,154
50,1,4,440
50,1,5,166
50,1,6,825
50,1,7,500
50,1,8,126
50,2,2,7195
50,2,3,97
50,2,4,314
50,2,5,114
50,2,6,356
50,2,7,479
50,2,8,72
51,1,2,13006
51,1,3,174
51,1,4,500
51,1,5,150
51,1,6,813
51,1,7,464
51,1,8,127
51,2,2,7010
51,2,3,95
51,2,4,283
51,2,5,128
51,2,6,338
51,2,7,460
51,2,8,56
52,1,2,12280
52,1,3,135
52,1,4,470
52,1,5,138
52,1,6,851
52,1,7,461
52,1,8,134
52,2,2,6795
52,2,3,111
52,2,4,305
52,2,5,103
52,2,6,339
52,2,7,395
52,2,8,45
53,1,2,12213
53,1,3,137
53,1,4,394
53,1,5,121
53,1,6,739
53,1,7,386
53,1,8,118
53,2,2,6774
53,2,3,98
53,2,4,290
53,2,5,101
53,2,6,354
53,2,7,377
53,2,8,52
54,1,2,12061
54,1,3,188
54,1,4,378
54,1,5,101
54,1,6,711
54,1,7,347
54,1,8,109
54,2,2,6584
54,2,3,90
54,2,4,262
54,2,5,82
54,2,6,351
54,2,7,319
54,2,8,54
55,1,2,11587
55,1,3,132
55,1,4,339
55,1,5,99
55,1,6,774
55,1,7,294
55,1,8,101
55,2,2,6504
55,2,3,95
55,2,4,265
55,2,5,72
55,2,6,325
55,2,7,289
55,2,8,53
56,1,2,11319
56,1,3,184
56,1,4,328
56,1,5,99
56,1,6,696
56,1,7,282
56,1,8,99
56,2,2,6284
56,2,3,94
56,2,4,263
56,2,5,70
56,2,6,287
56,2,7,272
56,2,8,39
57,1,2,10659
57,1,3,161
57,1,4,286
57,1,5,106
57,1,6,657
57,1,7,234
57,1,8,93
57,2,2,6335
57,2,3,124
57,2,4,201
57,2,5,79
57,2,6,303
57,2,7,248
57,2,8,47
58,1,2,11380
58,1,3,131
58,1,4,296
58,1,5,60
