LAD,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,avg,overall,overallPct,GEOGRAPHY_CODE,2011,2012,2013,2014,2015
East Lothian,44749,45301,45862,46401,46950,47493,48027,48541,49045,49559,50070,50582,51052,51547,52012,52472,52926,53357,53778,54197,54628,55027,55416,55814,56198,56574,473,11825,26%,S12000010,42905,43273,43642,44011,44380
East Renfrewshire,38581,38899,39279,39639,39978,40321,40684,41055,41421,41783,42150,42552,42949,43340,43733,44111,44526,44899,45267,45624,46000,46355,46674,47003,47317,47649,363,9069,24%,S12000011,37225,37496,37767,38038,38309
Falkirk,71072,71800,72415,72981,73565,74114,74634,75154,75630,76106,76556,77029,77495,77926,78374,78799,79217,79602,79973,80319,80658,80965,81260,81544,81816,82073,440,11001,15%,S12000014,68732,69200,69668,70136,70604
Fife,165833,166960,167862,168801,169612,170435,171192,171815,172468,173059,173678,174298,174919,175530,176077,176677,177134,177585,177996,178356,178732,179011,179354,179684,180006,180308,579,14474,9%,S12000015,160952,161928,162904,163880,164856
Glasgow City,289399,291115,294311,297010,299597,302106,304100,305822,307442,309056,310742,312465,314185,315872,317574,319432,321232,323001,324778,326484,328242,329868,331499,333054,334515,335927,1861,46528,16%,S12000046,285693,286434,287175,287916,288657
Highland,107573,108319,108955,109553,110129,110663,111175,111641,112105,112512,112902,113319,113680,114008,114254,114511,114711,114883,115049,115211,115350,115475,115550,115647,115732,115822,330,8250,8%,S12000017,102091,103187,104283,105380,106476
Inverclyde,37586,37651,37666,37662,37654,37656,37610,37548,37521,37462,37405,37336,37252,37189,37138,37058,36966,36855,36737,36637,36519,36393,36262,36130,35991,35827,-70,-1758,-5%,S12000018,37434,37464,37494,37525,37555
Midlothian,37766,38557,39123,39720,40288,40843,41393,41949,42511,43060,43618,44177,44734,45300,45858,46411,46966,47483,48015,48538,49049,49546,50048,50550,51045,51544,551,13779,36%,S12000019,34978,35535,36093,36650,37208
Moray,41961,42269,42674,43065,43440,43784,44135,44460,44785,45074,45393,45706,46017,46293,46555,46805,47049,47307,47546,47772,48030,48265,48509,48739,48941,49153,288,7192,17%,S12000020,40062,40441,40821,41201,41581
Comhairle nan Eilean Siar,12951,12805,12807,12818,12828,12829,12825,12814,12815,12793,12776,12768,12746,12729,12700,12652,12622,12580,12541,12501,12443,12395,12352,12301,12237,12186,-31,-765,-6%,S12000013,12576,12651,12726,12801,12876
North Ayrshire,63440,63756,63923,64054,64164,64219,64255,64291,64297,64301,64280,64270,64236,64190,64087,64026,63963,63872,63783,63675,63591,63494,63379,63284,63165,63049,-16,-390,-1%,S12000021,62498,62686,62874,63063,63251
North Lanarkshire,150364,151155,152151,153109,153979,154834,155637,156361,157117,157769,158375,159021,159608,160169,160653,161154,161624,162031,162440,162797,163147,163437,163715,163938,164130,164319,558,13955,9%,S12000044,145998,146871,147744,148617,149490
Orkney Islands,10256,10385,10455,10515,10560,10612,10670,10724,10758,10791,10821,10854,10879,10899,10896,10921,10926,10936,10949,10971,10991,10996,11007,11018,11042,11048,32,792,8%,S12000023,9725,9831,9937,10043,10149
Perth and Kinross,67101,67618,68197,68764,69296,69847,70362,70886,71377,71840,72266,72709,73141,73511,73858,74211,74520,74824,75133,75417,75698,75978,76274,76578,76862,77132,401,10031,15%,S12000024,64777,65241,65706,66171,66636
Renfrewshire,84025,84938,85588,86161,86694,87224,87771,88248,88710,89116,89527,89959,90381,90795,91200,91603,92002,92421,92772,93084,93434,93758,94112,94417,94695,94958,437,10934,13%,S12000038,80902,81526,82151,82775,83400
Scottish Borders,53787,54306,54585,54833,55095,55342,55638,55882,56105,56315,56497,56664,56827,56971,57105,57222,57372,57496,57604,57685,57770,57838,57932,58025,58096,58181,176,4394,8%,S12000026,52498,52755,53013,53271,53529
Shetland Islands,10283,10341,10398,10447,10506,10545,10590,10629,10656,10687,10722,10755,10781,10806,10829,10847,10857,10869,10882,10891,10903,10899,10894,10893,10893,10891,24,608,6%,S12000027,9950,10016,10083,10149,10216
South Ayrshire,51923,52104,52320,52487,52644,52763,52905,53007,53114,53200,53260,53336,53398,53454,53471,53491,53486,53469,53438,53403,53367,53310,53275,53220,53174,53111,48,1188,2%,S12000028,51286,51413,51540,51668,51795
South Lanarkshire,144148,145182,146174,147135,148038,148879,149821,150627,151450,152199,152891,153635,154308,154992,155578,156193,156806,157369,157930,158472,159020,159496,159988,160471,160901,161318,687,17170,12%,S12000029,139188,140180,141172,142164,143156
Stirling,38951,39285,39648,40021,40407,40756,41075,41373,41690,41978,42246,42533,42820,43087,43338,43602,43862,44096,44328,44567,44801,45016,45246,45483,45728,45961,280,7010,18%,S12000030,37566,37843,38120,38397,38674
West Dunbartonshire,42657,42746,42875,42981,43124,43253,43342,43421,43502,43583,43642,43714,43798,43850,43914,43965,44034,44088,44131,44165,44191,44204,44213,44207,44183,44149,60,1492,3%,S12000039,42167,42265,42363,42461,42559
West Lothian,76630,77369,78216,79101,79924,80734,81477,82206,82931,83605,84262,84925,85560,86191,86770,87361,87918,88466,89014,89494,89987,90451,90912,91400,91872,92340,628,15710,21%,S12000040,73398,74044,74690,75337,75983
