"Sex","Age","Ethnicity","Rate"
"M",24,"WHO",0.000448448
"M",25,"WHO",0.000359374
"M",26,"WHO",0.000383619
"M",27,"WHO",0.000411867
"M",28,"WHO",0.000450719
"M",29,"WHO",0.000489151
"M",30,"WHO",0.000528431
"M",31,"WHO",0.000581437
"M",32,"WHO",0.000664159
"M",33,"WHO",0.000767772
"M",34,"WHO",0.00084924
"M",35,"WHO",0.000919016
"M",36,"WHO",0.000939968
"M",37,"WHO",0.000970101
"M",38,"WHO",0.001007352
"M",39,"WHO",0.00121575
"M",40,"WHO",0.001394074
"M",41,"WHO",0.00142708
"M",42,"WHO",0.001542502
"M",43,"WHO",0.001610044
"M",44,"WHO",0.001880905
"M",45,"WHO",0.002226181
"M",46,"WHO",0.002417606
"M",47,"WHO",0.002722526
"M",48,"WHO",0.003116417
"M",49,"WHO",0.003174139
"M",50,"WHO",0.003378527
"M",51,"WHO",0.004023181
"M",52,"WHO",0.004717512
"M",53,"WHO",0.00564481
"M",54,"WHO",0.006544709
"M",55,"WHO",0.007603672
"M",56,"WHO",0.008656402
"M",57,"WHO",0.009284576
"M",58,"WHO",0.009690439
"M",59,"WHO",0.010305459
"M",60,"WHO",0.01152151
"M",61,"WHO",0.012739325
"M",62,"WHO",0.013300015
"M",63,"WHO",0.013178781
"M",64,"WHO",0.01500724
"M",65,"WHO",0.018099221
"M",66,"WHO",0.019836479
"M",67,"WHO",0.021842583
"M",68,"WHO",0.026137984
"M",69,"WHO",0.029186483
"M",70,"WHO",0.029760231
"M",71,"WHO",0.031325643
"M",72,"WHO",0.033456835
"M",73,"WHO",0.037059677
"M",74,"WHO",0.040172119
"M",75,"WHO",0.042395376
"M",76,"WHO",0.047014362
"M",77,"WHO",0.052520004
"M",78,"WHO",0.058082402
"M",79,"WHO",0.059299662
"M",80,"WHO",0.065907595
"M",81,"WHO",0.07325187
"M",82,"WHO",0.081414538
"M",83,"WHO",0.090486795
"M",84,"WHO",0.100570001
"M",85,"WHO",0.174934021
"M",0,"MIX",0.003094598
"M",1,"MIX",0.000290069
"M",2,"MIX",0.000190759
"M",3,"MIX",0.000141406
"M",4,"MIX",0.000223501
"M",5,"MIX",0.00029677
"M",6,"MIX",0.000301857
"M",7,"MIX",0.000304986
"M",8,"MIX",0.000218354
"M",9,"MIX",0.000138733
"M",10,"MIX",0.000124422
"M",11,"MIX",0.000132417
"M",12,"MIX",0.000154286
"M",13,"MIX",0.000176759
"M",14,"MIX",0.000188779
"M",15,"MIX",0.00021345
"M",16,"MIX",0.000331933
"M",17,"MIX",0.000468135
"M",18,"MIX",0.00052968
"M",19,"MIX",0.000497268
"M",20,"MIX",0.000439352
"M",21,"MIX",0.000445461
"M",22,"MIX",0.000427059
"M",23,"MIX",0.000458654
"M",24,"MIX",0.000430593
"M",25,"MIX",0.000331512
"M",26,"MIX",0.000361576
"M",27,"MIX",0.000391048
"M",28,"MIX",0.000426879
"M",29,"MIX",0.000472683
"M",30,"MIX",0.000510765
"M",31,"MIX",0.000552097
"M",32,"MIX",0.000642806
"M",33,"MIX",0.000770023
"M",34,"MIX",0.000873045
"M",35,"MIX",0.000938655
"M",36,"MIX",0.000955833
"M",37,"MIX",0.001014067
"M",38,"MIX",0.001067119
"M",39,"MIX",0.001267931
"M",40,"MIX",0.001437703
"M",41,"MIX",0.0014909
"M",42,"MIX",0.001625581
"M",43,"MIX",0.001669185
"M",44,"MIX",0.001964104
"M",45,"MIX",0.002349165
"M",46,"MIX",0.002549442
"M",47,"MIX",0.002853447
"M",48,"MIX",0.003239281
"M",49,"MIX",0.003249565
"M",50,"MIX",0.003446537
"M",51,"MIX",0.004145421
"M",52,"MIX",0.004819885
"M",53,"MIX",0.005781343
"M",54,"MIX",0.006830674
"M",55,"MIX",0.007874646
"M",56,"MIX",0.008828057
"M",57,"MIX",0.009496604
"M",58,"MIX",0.009908727
"M",59,"MIX",0.010660928
"M",60,"MIX",0.012073299
"M",61,"MIX",0.013418365
"M",62,"MIX",0.014088306
"M",63,"MIX",0.013901896
"M",64,"MIX",0.015652695
"M",65,"MIX",0.018837037
